Origin,OriginCode,Destination,DestinationCode,Country,FLight_Path,Flight_Time,Departure Date,Return Date,Duration,Stops,Flight_Name,Img_URL,Price,Origin_Loc,Destination_Loc
Islamabad,ISB,Toronto,YYZ,Pakistan - Canada,ISB-YYZ,4:25am - 2:55pm,5/10/2023,5/10/2023,19h 30m (1 stop),2h 10m in Abu Dhabi (AUH),Etihad Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EY_sq.svg,"$2,534 ","33.6938118, 73.0651511","43.6534733, -79.383961"
,ISB,Toronto,YYZ,Pakistan - Canada,ISB-YYZ,5:05am - 7:30pm,5/10/2023,5/10/2023,23h 25m (2 stops),3h in Istanbul (IST) � 2h 50m in Frankfurt (FRA),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$3,502 ","33.6938118, 73.0651511","43.6534733, -79.383961"
Islamabad,ISB,Toronto,YYZ,Pakistan - Canada,ISB-YYZ,5:05am - 7:30pm,5/10/2023,5/10/2023,23h 25m (2 stops),3h in Istanbul (IST) � 2h 50m in Frankfurt (FRA),Multiple airlines � Lufthansa 6780 operated by Air Canada,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$3,662 ","33.6938118, 73.0651511","43.6534733, -79.383961"
,ISB,Vancouver,YVR,Pakistan - Canada,ISB-YVR,5:05am - 4:45pm,5/10/2023,5/10/2023,23h 40m (2 stops),2h 50m in Istanbul (IST) � 2h in Munich (MUC),Multiple airlines � Air Canada 9433 operated by Lufthansa,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$4,883 ","33.6938118, 73.0651511","49.2608724, -123.113952"
Islamabad,ISB,Vancouver,YVR,Pakistan - Canada,ISB-YVR,3:35am - 4:45pm,5/10/2023,5/10/2023,25h 10m (2 stops),3h 5m in Doha (DOH) � 2h in Munich (MUC),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$4,912 ","33.6938118, 73.0651511","49.2608724, -123.113952"
Islamabad,ISB,Vancouver,YVR,Pakistan - Canada,ISB-YVR,5:05am - 4:45pm,5/10/2023,5/10/2023,23h 40m (2 stops),2h 50m in Istanbul (IST) � 2h in Munich (MUC),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$5,025 ","33.6938118, 73.0651511","49.2608724, -123.113952"
Islamabad,ISB,Montreal,YUL,Pakistan - Canada,ISB-YUL,5:05am - 5:40pm,5/10/2023,5/10/2023,21h 35m (1 stop),5h 45m in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$2,391 ","33.6938118, 73.0651511","45.5031824, -73.5698065"
Islamabad,ISB,Montreal,YUL,Pakistan - Canada,ISB-YUL,3:35am - 2:00pm,5/10/2023,5/10/2023,19h 25m (1 stop),2h 30m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$4,232 ","33.6938118, 73.0651511","45.5031824, -73.5698065"
Islamabad,ISB,Edmonton,YEG,Pakistan - Canada,ISB-YEG,4:25am - 8:40pm,5/10/2023,5/10/2023,27h 15m (2 stops),2h 10m in Abu Dhabi (AUH) � 3h 35m in Toronto (YYZ),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$6,023 ","33.6938118, 73.0651511","53.5462055, -113.491241"
Islamabad,ISB,Riyadh,RUH,Pakistan - Saudi Arabia,ISB-RUH,3:05am - 9:50am,5/10/2023,5/10/2023,8h 45m (1 stop),1h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","24.638916, 46.7160104"
Islamabad,ISB,Riyadh,RUH,Pakistan - Saudi Arabia,ISB-RUH,10:25am - 5:50pm,5/10/2023,5/10/2023,9h 25m (1 stop),2h 25m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","24.638916, 46.7160104"
Islamabad,ISB,Riyadh,RUH,Pakistan - Saudi Arabia,ISB-RUH,3:05am - 10:50am,5/10/2023,5/10/2023,9h 45m (1 stop),2h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","24.638916, 46.7160104"
Islamabad,ISB,Dammam,DMM,Pakistan - Saudi Arabia,ISB-DMM,3:05am - 11:10am,5/10/2023,5/10/2023,10h 5m (1 stop),2h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","26.4367824, 50.1039991"
Islamabad,ISB,Dammam,DMM,Pakistan - Saudi Arabia,ISB-DMM,3:05am - 1:10pm,5/10/2023,5/10/2023,12h 5m (1 stop),4h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","26.4367824, 50.1039991"
Islamabad,ISB,Dammam,DMM,Pakistan - Saudi Arabia,ISB-DMM,3:05am - 3:00pm,5/10/2023,5/10/2023,13h 55m (1 stop),6h 45m in Jeddah (JED),Saudi Arabian Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/SV_sq.svg,$528 ,"33.6938118, 73.0651511","26.4367824, 50.1039991"
Islamabad,ISB,London,LHR,Pakistan - United Kingdom,ISB-LHR,5:30am - 2:45pm,5/10/2023,5/10/2023,13h 15m (1 stop),2h 50m in Kuwait City (KWI),Kuwait Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/KU_sq.svg,"$1,043 ","33.6938118, 73.0651511","51.5073359, -0.12765"
Islamabad,ISB,London,LHR,Pakistan - United Kingdom,ISB-LHR,9:20am - 6:40pm,5/10/2023,5/10/2023,13h 20m (1 stop),2h 40m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,210 ","33.6938118, 73.0651511","51.5073359, -0.12765"
Islamabad,ISB,London,LHR,Pakistan - United Kingdom,ISB-LHR,9:20am - 8:15pm,5/10/2023,5/10/2023,14h 55m (1 stop),4h 10m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,210 ","33.6938118, 73.0651511","51.5073359, -0.12765"
Islamabad,ISB,Manchester,MAN,Pakistan - United Kingdom,ISB-MAN,9:20am - 7:15pm,5/10/2023,5/10/2023,13h 55m (1 stop),2h 55m in Dubai (DXB),Emirates,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/EK_sq.svg,"$1,084 ","33.6938118, 73.0651511","53.4794892, -2.2451148"
Islamabad,ISB,Manchester,MAN,Pakistan - United Kingdom,ISB-MAN,5:05am - 12:10pm,5/10/2023,5/10/2023,11h 5m (1 stop),1h in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$1,219 ","33.6938118, 73.0651511","53.4794892, -2.2451148"
Islamabad,ISB,Manchester,MAN,Pakistan - United Kingdom,ISB-MAN,3:35am - 1:25pm,5/10/2023,5/10/2023,13h 50m (1 stop),2h 45m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$1,638 ","33.6938118, 73.0651511","53.4794892, -2.2451148"
Islamabad,ISB,Chicago,ORD,Pakistan - United States,ISB-ORD,5:05am - 5:50pm,5/10/2023,5/10/2023,22h 45m (1 stop),5h 20m in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$1,827 ","33.6938118, 73.0651511","41.8755616, -87.6244212"
Islamabad,ISB,Chicago,ORD,Pakistan - United States,ISB-ORD,3:35am - 3:00pm,5/10/2023,5/10/2023,21h 25m (1 stop),2h 35m in Doha (DOH),Multiple airlines � JetBlue Airways 5561 operated by Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,207 ","33.6938118, 73.0651511","41.8755616, -87.6244212"
Islamabad,ISB,Chicago,ORD,Pakistan - United States,ISB-ORD,3:35am - 3:00pm,5/10/2023,5/10/2023,21h 25m (1 stop),2h 35m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$2,446 ","33.6938118, 73.0651511","41.8755616, -87.6244212"
Karachi,KHI,Vancouver,YVR,Pakistan - Canada,KHI-YVR,4:00am - 5:04pm,5/10/2023,5/10/2023,25h 4m (2 stops),3h 5m in Doha (DOH) � 3h 35m in Seattle (SEA),Multiple airlines � Alaska Airlines 3400 operated by SKYWEST AIRLINES AS ALASKASKYWEST,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,407 ","24.8546842, 67.0207055","49.2608724, -123.113952"
Karachi,KHI,Vancouver,YVR,Pakistan - Canada,KHI-YVR,4:00am - 7:27pm,5/10/2023,5/10/2023,27h 27m (2 stops),3h 20m in Doha (DOH) � 3h 15m in San Francisco (SFO),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$2,407 ","24.8546842, 67.0207055","49.2608724, -123.113952"
Karachi,KHI,Vancouver,YVR,Pakistan - Canada,KHI-YVR,4:00am - 5:04pm,5/10/2023,5/10/2023,25h 4m (2 stops),3h 5m in Doha (DOH) � 3h 35m in Seattle (SEA),Qatar Airways � Qatar Airways 2099 operated by SKYWEST AIRLINES AS ALASKASKYWEST,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$2,418 ","24.8546842, 67.0207055","49.2608724, -123.113952"
Karachi,KHI,Montreal,YUL,Pakistan - Canada,KHI-YUL,5:55am - 5:40pm,5/10/2023,5/10/2023,20h 45m (1 stop),5h in Istanbul (IST),Turkish Airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/TK_sq.svg,"$2,069 ","24.8546842, 67.0207055","45.5031824, -73.5698065"
Karachi,KHI,Montreal,YUL,Pakistan - Canada,KHI-YUL,4:00am - 2:00pm,5/10/2023,5/10/2023,19h 0m (1 stop),2h 55m in Doha (DOH),Qatar Airways,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/QR_sq.svg,"$3,082 ","24.8546842, 67.0207055","45.5031824, -73.5698065"
Karachi,KHI,Edmonton,YEG,Pakistan - Canada,KHI-YEG,4:00am - 8:40pm,5/10/2023,5/10/2023,27h 40m (2 stops),3h 50m in Abu Dhabi (AUH) � 3h 35m in Toronto (YYZ),Multiple airlines,https://images.trvl-media.com/media/content/expus/graphics/static_content/fusion/v0.1b/images/airlines/vector/s/multiple_airlines_logo_sq.svg,"$6,040 ","24.8546842, 67.0207055","53.5462055, -113.491241"
